rank,Youtuber,subscribers,video views,video count,category,started
385,Lele Pons,17800000.00,4958584356.00,154.00,Comedy,2015
386,Lil Pump,17800000.00,4091109829.00,59.00,Music,2015
387,Naisa Alifia Yuriza (N.A.Y),17800000.00,2521515641.00,1462.00,People & Blogs,2017
388,SCTV,17700000.00,8588329369.00,50080.00,Entertainment,2011
389,Good Mythical Morning,17700000.00,8074270215.00,2980.00,Entertainment,2008
390,TheGrefg,17700000.00,6077820746.00,3332.00,Gaming,2012
391,Ali-A,17700000.00,5766028299.00,3920.00,Gaming,2006
392,Marmok,17700000.00,3131925799.00,344.00,Gaming,2008
393,Mother Goose Club Playhouse,17600000.00,15500399390.00,1282.00,Shows,2009
394,RsiamMusic : อาร์สยาม,17600000.00,10952154122.00,2663.00,Music,2011
395,Little Angel Español - Canciones Infantiles,17600000.00,8525569510.00,580.00,Education,2018
396,Познаватель,17600000.00,8522826642.00,476.00,Entertainment,2014
397,JFlaMusic,17600000.00,3657526529.00,282.00,Music,2011
398,Village Cooking Channel,17600000.00,4477436881.00,211.00,Howto & Style,2018
399,FactTechz,17500000.00,2112929572.00,578.00,Entertainment,2016
400,Sebastián Yatra,17400000.00,9316925082.00,196.00,News & Politics,2013
401,officialpsy,17400000.00,9825292199.00,119.00,Music,2010
402,Vlad and Niki IDN,17400000.00,8231518268.00,392.00,,2018
403,Porta dos Fundos,17400000.00,7258838590.00,1960.00,Entertainment,2012
404,Liza Koshy,17400000.00,2595554113.00,189.00,Comedy,2013
405,etvteluguindia,17300000.00,19465295267.00,111360.00,Entertainment,2010
406,Vijay Television,17300000.00,19901616359.00,27059.00,Entertainment,2007
407,TED-Ed,17300000.00,3287834094.00,1948.00,Education,2011
408,Stubborn Facts,17300000.00,827786482.00,217.00,Film & Animation,2016
409,PopularMMOs,17200000.00,14475783059.00,4686.00,Gaming,2012
410,SQUEEZIE,17200000.00,9258609822.00,1471.00,Gaming,2011
411,Masha e o Urso,17200000.00,7131816532.00,856.00,Shows,2016
412,Willyrex,17200000.00,4808457361.00,6686.00,Gaming,2009
413,RobleisIUTU,17200000.00,4680573231.00,1145.00,Entertainment,2013
414,EeOneGuy,17200000.00,3804413513.00,363.00,Entertainment,2013
415,LuisFonsiVEVO,17100000.00,14008585257.00,96.00,Music,2009
416,GRAMMY GOLD OFFICIAL,17100000.00,17974040182.00,5334.00,Music,2014
417,SUPER SLICK SLIME SAM,17100000.00,6078466417.00,741.00,Howto & Style,2018
418,HowToBasic,17100000.00,3561001854.00,563.00,Howto & Style,2011
419,李子柒 Liziqi,17100000.00,2801548472.00,128.00,Howto & Style,2017
420,Gaby and Alex,17000000.00,7942553236.00,351.00,Entertainment,2012
421,شبكة العاب العرب | Arab Games Network,17000000.00,7723277433.00,5515.00,Gaming,2013
422,Kiddiestv Hindi - Nursery Rhymes & Kids Songs,17000000.00,6221383175.00,192.00,Education,2017
423,Rafa & Luiz,17000000.00,6273315738.00,2184.00,Entertainment,2015
424,Khan GS Research Centre,17000000.00,1670639781.00,347.00,Education,2019
425,हिंदी - Genevieve's Playhouse,16900000.00,9195178282.00,96.00,Education,2018
426,الـريماس - Al-Remas,16900000.00,10550888024.00,2047.00,Music,2013
427,Junya.じゅんや,16900000.00,9529205653.00,3150.00,Entertainment,2020
428,Guava Juice,16900000.00,8614218175.00,1754.00,Gaming,2006
429,Doggy Doggy Cartoons,16800000.00,6459285262.00,4723.00,Entertainment,2012
430,IGN,16800000.00,14633922961.00,149770.00,Gaming,2006
431,Jason Derulo,16800000.00,8808599101.00,451.00,Music,2008
432,Maya and Mary,16800000.00,6304251610.00,539.00,Entertainment,2013
433,DUDU e CAROL,16700000.00,6530946230.00,2874.00,Autos & Vehicles,2013
434,Jane ASMR 제인,16700000.00,6443586305.00,1546.00,,2012
435,Anitta,16700000.00,6610175435.00,99.00,Music,2011
436,Werever2morro,16700000.00,2714071108.00,972.00,Entertainment,2007
437,Triggered Insaan,16700000.00,2657491028.00,265.00,Comedy,2014
438,7clouds,16600000.00,11637964945.00,1940.00,Music,2013
439,Tu COSMOPOLIS,16600000.00,4875900353.00,6796.00,People & Blogs,2014
440,DeToxoMoroxo,16600000.00,2212149791.00,488.00,Entertainment,2012
441,Sourav Joshi Vlogs,16500000.00,5970849535.00,1039.00,People & Blogs,2019
442,TheBrianMaps,16500000.00,4090289417.00,476.00,Comedy,2012
443,Manual do Mundo,16500000.00,3367572384.00,2117.00,Howto & Style,2006
444,SonyMusicSouthVEVO,16400000.00,15090557603.00,4304.00,Music,2014
445,zbing z.,16400000.00,8307904773.00,2763.00,Gaming,2014
446,Dhar Mann,16400000.00,8642459264.00,649.00,People & Blogs,2018
447,IDEAS EN 5 MINUTOS,16400000.00,3509049258.00,4658.00,Howto & Style,2017
448,W2S,16300000.00,4739609055.00,653.00,Gaming,2012
449,Shemaroo Comedy,16300000.00,4923411314.00,3467.00,Entertainment,2007
450,ExtraPolinesios,16300000.00,4696367446.00,480.00,People & Blogs,2012
451,Goldmines Great Indian Comedy,16300000.00,4238595667.00,2008.00,Film & Animation,2016
452,Prajapati News,16300000.00,907965523.00,1081.00,Comedy,2013
453,SOMOY TV,16200000.00,9476895180.00,124072.00,News & Politics,2015
454,Sony AATH,16200000.00,10718891416.00,14759.00,Shows,2013
455,Miley Cyrus,16200000.00,6235405830.00,124.00,Entertainment,2009
456,Sandra Cires Art,16200000.00,3702173328.00,953.00,Howto & Style,2011
457,tanboy kun,16200000.00,3020272233.00,582.00,People & Blogs,2016
458,Sidhu Moose Wala,16200000.00,4078330367.00,111.00,Music,2017
459,Blippi - Educational Videos for Kids,16100000.00,12991967769.00,453.00,Education,2014
460,Queen Official,16100000.00,9723539941.00,908.00,Music,2008
461,Travis Scott,16100000.00,7187033169.00,13.00,Music,2013
462,Les' Copaque Production,16100000.00,7954662776.00,1427.00,Film & Animation,2009
463,Zuni and Family,16100000.00,5830669187.00,176.00,People & Blogs,2017
464,Sidemen,16100000.00,4196033350.00,264.00,Entertainment,2015
465,The Game Theorists,16100000.00,3546490692.00,659.00,Gaming,2009
466,Antrax,16100000.00,2949891202.00,654.00,Gaming,2015
467,Canal IN,16100000.00,2573050059.00,723.00,People & Blogs,2017
468,Dushyant kukreja,16000000.00,11095340736.00,571.00,Entertainment,2015
469,TRANS TV Official,16000000.00,8780937851.00,123467.00,Entertainment,2014
470,Little Mix,16000000.00,7047968268.00,278.00,Music,2011
471,RKD Studios,16000000.00,4133234619.00,622.00,Entertainment,2014
472,FailArmy,16000000.00,2041620563.00,337.00,Comedy,2011
473,El Reino a Jugar,15900000.00,10175537321.00,872.00,Education,2015
474,DopeLyrics,15900000.00,9803533121.00,1937.00,Music,2016
475,Boyce Avenue,15900000.00,6230190520.00,438.00,Music,2007
476,Camila Cabello,15900000.00,6086165889.00,61.00,Music,2015
477,VICE,15900000.00,4174962442.00,3694.00,Entertainment,2005
478,Kaykai Salaider,15900000.00,4248704474.00,399.00,Comedy,2011
479,Fede Vigevani,15900000.00,4745414554.00,865.00,Howto & Style,2009
480,Marques Brownlee,15900000.00,3082486680.00,1454.00,Science & Technology,2008
481,jeffreestar,15900000.00,2575183135.00,428.00,Howto & Style,2006
482,Apple,15900000.00,808136104.00,205.00,Science & Technology,2005
483,Kids Play,15800000.00,7713981883.00,545.00,Entertainment,2018
484,Aayu and Pihu Show,15800000.00,7837311552.00,352.00,Comedy,2017
485,JJ Olatunji,15800000.00,3631494389.00,1183.00,Gaming,2011
486,Katie Angel,15800000.00,3007947714.00,732.00,People & Blogs,2015
487,MissaSinfonia,15800000.00,1918777559.00,232.00,Comedy,2011
488,AMARINTV : อมรินทร์ทีวี,15700000.00,11194074075.00,97231.00,Entertainment,2014
489,Rotten Tomatoes Trailers,15700000.00,12811981848.00,9582.00,Film & Animation,2011
490,Pitbull,15700000.00,11458130113.00,302.00,Music,2006
491,Enes Batur,15700000.00,9410061135.00,1979.00,Gaming,2012
492,Jennifer Lopez,15700000.00,9512025119.00,224.00,Music,2005
493,Jason Vlogs,15700000.00,7137778517.00,666.00,Education,2015
494,Alejo Igoa,15700000.00,5276127016.00,699.00,Comedy,2014
495,Matt Stonie,15700000.00,3249162653.00,401.00,Entertainment,2012
496,Caeli YT,15700000.00,1509244860.00,545.00,Entertainment,2010
497,Pop Chartbusters,15600000.00,7817983360.00,2154.00,Music,2011
498,Tilak,15600000.00,6132515137.00,3614.00,Film & Animation,2020
499,AdMe,15600000.00,4012749893.00,5356.00,Entertainment,2015
500,FunFun Toy Doll TV,15500000.00,6948469648.00,706.00,Entertainment,2016
501,News24,15500000.00,5982443648.00,157377.00,News & Politics,2014
502,Roman Atwood Vlogs,15500000.00,5442036950.00,1726.00,People & Blogs,2013
503,Dyland PROS,15500000.00,1294519810.00,1803.00,Entertainment,2015
504,Gato Galactico | GALÁXIA,15400000.00,5602802498.00,2085.00,Film & Animation,2013
505,FitDance,15400000.00,6541827030.00,3537.00,Music,2013
506,Smile Family Spanish,15400000.00,5534075089.00,343.00,,2019
507,wifistudy,15400000.00,2805232542.00,46290.00,Education,2014
508,Live,15300000.00,0.00,0.00,,2015
509,RCTI - LAYAR DRAMA INDONESIA,15300000.00,12818689835.00,58886.00,Entertainment,2015
510,SriBalajiMovies,15200000.00,8199671601.00,16953.00,Entertainment,2011
511,Oyuncak Avı,15200000.00,8085387780.00,544.00,Entertainment,2014
512,AdeleVEVO,15200000.00,11470355227.00,51.00,Music,2009
513,Camilo,15200000.00,6003697328.00,80.00,Music,2010
514,Kerajinan 5-Menit,15200000.00,4465727515.00,3392.00,People & Blogs,2018
515,Bizarrap,15200000.00,4683488651.00,78.00,Comedy,2017
516,T3ddy,15200000.00,2528566554.00,1700.00,Comedy,2012
517,Musas,15200000.00,2359375167.00,611.00,Howto & Style,2012
518,Dan Rhodes,15100000.00,10715145365.00,1315.00,Entertainment,2015
519,With Kids[위드키즈],15100000.00,7990515155.00,863.00,Entertainment,2012
520,And TV,15100000.00,11583824903.00,26477.00,Entertainment,2015
521,TheRichest,15100000.00,2919203136.00,2206.00,Education,2014
522,LOKESH GAMER,15100000.00,1535589708.00,1186.00,Gaming,2017
523,Technoblade,15100000.00,1488692745.00,988.00,Gaming,2013
524,Ch7HD,15000000.00,11688798550.00,49889.00,Entertainment,2010
525,POPS Kids,15000000.00,8678492072.00,4478.00,Music,2014
526,SAM SMITH,15000000.00,8769075543.00,67.00,Music,2012
527,Like Nastya IDN,15000000.00,6483845834.00,430.00,Entertainment,2019
528,Like Nastya VNM,15000000.00,8132415475.00,456.00,Entertainment,2019
529,5-Minute Crafts FAMILY,15000000.00,5438131771.00,3440.00,People & Blogs,2018
530,zayn,15000000.00,4559692349.00,14.00,Music,2016
531,Makiman131,15000000.00,4484263923.00,3102.00,Gaming,2013
532,حِرف إبداعية في 5 دقائق,15000000.00,4160511912.00,4404.00,Howto & Style,2017
533,Stokes Twins,15000000.00,2774875062.00,216.00,People & Blogs,2008
534,Ranz Kyle,15000000.00,1678559984.00,479.00,People & Blogs,2008
535,НТВ,14900000.00,439098.00,1.00,People & Blogs,2008
536,Henrique e Juliano,14900000.00,12484253152.00,285.00,Music,2009
537,LEGO,14900000.00,18840617532.00,28683.00,Entertainment,2005
538,Volga Video,14900000.00,9171517368.00,18735.00,Film & Animation,2012
539,Lahari Music | T-Series,14900000.00,10469251425.00,8169.00,Music,2011
540,Kwebbelkop,14900000.00,6655475239.00,4951.00,Gaming,2008
541,Talking Tom & Friends,14900000.00,6178735188.00,392.00,Entertainment,2010
542,Mariale,14900000.00,2568493946.00,1918.00,Howto & Style,2010
543,Harsh Beniwal,14900000.00,1630452954.00,158.00,Comedy,2015
544,GMMTV OFFICIAL​​,14800000.00,10387146066.00,19368.00,Entertainment,2010
545,BIGBANG,14800000.00,7353265213.00,776.00,Music,2005
546,La Rosa de Guadalupe,14800000.00,8349695433.00,5225.00,Entertainment,2015
547,Dave and Ava - Nursery Rhymes and Baby Songs,14800000.00,9864262216.00,732.00,Education,2014
548,League of Legends,14800000.00,6604382784.00,1340.00,Gaming,2009
549,Super Senya,14800000.00,4790199895.00,525.00,Entertainment,2016
550,Lachlan,14800000.00,5013387703.00,3646.00,Gaming,2013
551,Reaction Time,14800000.00,4255591418.00,1684.00,Entertainment,2015
552,ERB,14800000.00,3905723697.00,85.00,Entertainment,2006
553,YOLO AVENTURAS,14800000.00,3689834035.00,976.00,People & Blogs,2018
554,MrBeast Shorts,14800000.00,1938796955.00,87.00,People & Blogs,2020
555,Niana Guerrero,14800000.00,1359023136.00,391.00,Entertainment,2013
556,Zé Neto e Cristiano,14700000.00,10398104437.00,212.00,Music,2012
557,Dangal TV Channel,14700000.00,8282592676.00,8625.00,Entertainment,2017
558,MK MUSIC,14700000.00,7773089325.00,4624.00,Music,2010
559,NDTV India,14700000.00,5647481648.00,65241.00,News & Politics,2008
560,les boys tv2,14700000.00,4518966874.00,381.00,Entertainment,2017
561,iTownGamePlay *Terror&Diversión*,14700000.00,4784433628.00,7674.00,Entertainment,2012
562,Planeta das Gêmeas,14700000.00,4468774867.00,899.00,People & Blogs,2015
563,IDEIAS INCRÍVEIS,14700000.00,3498040367.00,4643.00,Howto & Style,2017
564,Linus Tech Tips,14700000.00,6062569897.00,5864.00,Science & Technology,2008
565,Maroon5VEVO,14600000.00,18917303323.00,143.00,Music,2009
566,Major Lazer Official,14600000.00,8886913617.00,407.00,Music,2009
567,Jorge & Mateus Oficial,14600000.00,7981563626.00,294.00,Music,2008
568,NMF News,14600000.00,6090840731.00,95987.00,News & Politics,2013
569,BBC News Hindi,14600000.00,5544547819.00,16437.00,News & Politics,2009
570,Lilly Singh,14600000.00,3480250258.00,858.00,Comedy,2010
571,MattyBRaps,14600000.00,3226020734.00,175.00,Music,2010
572,Daftar Populer,14600000.00,1859586741.00,2898.00,Education,2017
573,LEGENDA FUNK,14600000.00,1310544121.00,2250.00,Music,2013
574,SelenaGomezVEVO,14500000.00,10323589482.00,183.00,Music,2009
575,El Payaso Plim Plim,14500000.00,12573029533.00,992.00,Film & Animation,2013
576,Fueled By Ramen,14500000.00,12629200270.00,1190.00,Music,2006
577,Thairath Online,14500000.00,11995915981.00,209097.00,News & Politics,2010
578,CollegeHumor,14500000.00,7331868655.00,3307.00,Comedy,2006
579,Bollywood Classics,14500000.00,6036342725.00,1147.00,Entertainment,2011
580,Zhong,14500000.00,9685321623.00,1081.00,Entertainment,2015
581,Wow Kidz Action,14500000.00,6378481319.00,1445.00,Film & Animation,2017
582,News18 India,14500000.00,5069817134.00,120858.00,News & Politics,2007
583,XpressTV,14500000.00,3644137000.00,630.00,Entertainment,2014
584,Maha Fun Tv,14500000.00,2385190008.00,51.00,Entertainment,2017
585,Mobile Legends: Bang Bang Official,14500000.00,2655046551.00,2410.00,Gaming,2016
586,حقائق وأسرار,14500000.00,2175911149.00,1312.00,Entertainment,2016
587,Drawblogs,14500000.00,1694934569.00,362.00,Entertainment,2014
588,Canal Nostalgia,14500000.00,1416689094.00,370.00,Entertainment,2008
589,Fifth Harmony,14400000.00,7526971366.00,67.00,Music,2013
590,Team Films Bhojpuri,14400000.00,6164527861.00,20085.00,Music,2014
591,Chad Wild Clay,14400000.00,6161605244.00,630.00,Comedy,2006
592,Boram Tube ToysReview [보람튜브 토이리뷰],14400000.00,4914128767.00,568.00,People & Blogs,2016
593,Martin Garrix,14400000.00,5558117744.00,305.00,Music,2011
594,LIV Crime,14400000.00,7061275751.00,4281.00,People & Blogs,2020
595,Super Polina,14400000.00,4812187551.00,539.00,People & Blogs,2014
596,Rclbeauty101,14400000.00,3919524704.00,478.00,Comedy,2010
597,TWICE,14400000.00,3733683543.00,852.00,Music,2016
598,Arif muhammad,14400000.00,3400090845.00,428.00,People & Blogs,2017
599,Cyprien,14400000.00,3005899595.00,205.00,Comedy,2007
600,The Slow Mo Guys,14400000.00,2346592288.00,297.00,Entertainment,2010
601,Дима Масленников,14400000.00,2013234398.00,401.00,Entertainment,2014
602,Genierock,14300000.00,13310308313.00,1540.00,Music,2008
603,mujjuu___14,14300000.00,9548597909.00,556.00,People & Blogs,2020
604,PlayStation,14300000.00,4230572281.00,17878.00,Gaming,2005
605,Gyan Gamingㅤ,14300000.00,2081351545.00,2514.00,Gaming,2017
606,Zach King,14300000.00,2014152450.00,398.00,Entertainment,2013
607,It's Mamix,14300000.00,1547521967.00,200.00,People & Blogs,2017
608,Hear This Music,14200000.00,8511385256.00,38.00,Music,2016
609,Unspeakable,14200000.00,7365642885.00,668.00,Gaming,2016
610,SIS vs BRO,14200000.00,6767838159.00,357.00,Entertainment,2016
611,Mohamed Ramadan I محمد رمضان,14200000.00,4812994887.00,599.00,People & Blogs,2014
612,Trap City,14200000.00,4885163357.00,2554.00,Music,2012
613,Totoy kids - Español,14200000.00,4533034236.00,167.00,Film & Animation,2017
614,Camila Loures,14200000.00,4189052804.00,3429.00,Music,2014
615,Zach Choi ASMR,14200000.00,2512937687.00,638.00,People & Blogs,2014
616,MalumaVEVO,14100000.00,17905081262.00,168.00,Music,2011
617,ABS-CBN News,14100000.00,9438904191.00,174684.00,News & Politics,2009
618,CNN,14100000.00,12083277333.00,155569.00,News & Politics,2005
619,Zee Music Classic,14100000.00,5021164640.00,964.00,Music,2014
620,ช่อง8 : Thai Ch8,14100000.00,5221155648.00,20582.00,Entertainment,2011
621,Daily Dose Of Internet,14100000.00,4265711762.00,396.00,Entertainment,2015
622,Invento na Hora,14100000.00,3851507257.00,1189.00,Film & Animation,2014
623,#Refugio Mental,14100000.00,3410001605.00,688.00,Entertainment,2013
624,Anasala I أنس و أصالة,14100000.00,3068619934.00,407.00,Entertainment,2017
625,Мастерская Настроения,14000000.00,3636809960.00,891.00,Entertainment,2013
626,Aphmau,14000000.00,13364784369.00,3996.00,Gaming,2012
627,O Canal do Joãozinho - Little Angel Português,14000000.00,7752154061.00,649.00,Entertainment,2018
628,Трум Трум,14000000.00,6272005457.00,1987.00,Howto & Style,2015
629,AM3NlC,14000000.00,4816638383.00,5446.00,Gaming,2012
630,F2Freestylers - Ultimate Soccer Skills Channel,14000000.00,3152582636.00,777.00,Sports,2011
631,A2 Motivation by {Arvind Arora},13900000.00,8013016996.00,2340.00,Entertainment,2017
632,Taarak Mehta Ka Ooltah Chashmah,13900000.00,8048210407.00,2519.00,Entertainment,2014
633,EdisonPts,13900000.00,5606959168.00,3490.00,Gaming,2013
634,UFC - Ultimate Fighting Championship,13900000.00,5422335319.00,12258.00,Sports,2006
635,Kuplinov ► Play,13900000.00,5778034318.00,6400.00,Gaming,2012
636,CoryxKenshin,13900000.00,5816295650.00,1628.00,Gaming,2009
637,DM - Desi Melodies,13900000.00,5056080182.00,45.00,Music,2017
638,Bie The Ska,13900000.00,4427609230.00,1349.00,Entertainment,2006
639,Saad Lamjarred | سعد لمجرد,13900000.00,3931202248.00,156.00,Music,2012
640,Doc Tops,13900000.00,2469411668.00,437.00,Entertainment,2014
641,Mis Pastelitos,13900000.00,2382268150.00,534.00,Howto & Style,2014
642,NikkieTutorials,13900000.00,1562768226.00,852.00,Howto & Style,2008
643,FC Barcelona,13800000.00,2203376862.00,9960.00,Sports,2006
644,Blippi Español,13800000.00,7685405847.00,408.00,People & Blogs,2017
645,Daniel LaBelle,13800000.00,7013383323.00,224.00,Comedy,2009
646,melanie martinez,13800000.00,3835968267.00,96.00,Music,2007
647,Rosanna Pansino,13800000.00,4057054946.00,1007.00,Howto & Style,2010
648,Auron,13800000.00,2583408205.00,694.00,People & Blogs,2013
649,NOBRU,13700000.00,225191097.00,344.00,Gaming,2016
650,Mazhavil Manorama,13700000.00,13822177908.00,70454.00,Entertainment,2011
651,MNCTV OFFICIAL,13700000.00,7394853164.00,54722.00,Entertainment,2012
652,ADEL et SAMI,13700000.00,5660289473.00,362.00,Entertainment,2018
653,NichLmao,13700000.00,7269291992.00,562.00,People & Blogs,2018
654,Hongyu ASMR 홍유,13700000.00,4285457943.00,515.00,People & Blogs,2018
655,Dang Matt Smith,13700000.00,3101895284.00,1372.00,Entertainment,2011
656,Darkar Company Studios,13700000.00,2201167967.00,164.00,Film & Animation,2009
657,MAIKI021,13700000.00,1893820151.00,2919.00,Entertainment,2008
658,Wengie,13700000.00,1882235841.00,373.00,Howto & Style,2010
659,GMM25Thailand,13600000.00,8727207691.00,53533.00,Entertainment,2011
660,50 Cent,13600000.00,8649139354.00,417.00,Music,2007
661,Lyna,13600000.00,5801199256.00,4452.00,Gaming,2014
662,TazerCraft,13600000.00,5325454303.00,3977.00,Gaming,2011
663,CrashCourse,13600000.00,1699669363.00,1436.00,Education,2006
664,Zig & Sharko,13500000.00,8306091825.00,826.00,Film & Animation,2015
665,5-Minute Crafts Recycle,13500000.00,7508843409.00,2770.00,People & Blogs,2019
666,Aadishakti Films,13500000.00,5860777243.00,4599.00,Music,2016
667,infobells,13500000.00,4977566807.00,463.00,Education,2011
668,The World Adventures हिन्दी,13500000.00,2116009610.00,854.00,People & Blogs,2016
669,PlayHard,13500000.00,1926532344.00,2138.00,Gaming,2014
670,Neha Kakkar,13500000.00,1792757553.00,122.00,Music,2012
671,ZEE5,13400000.00,15778544226.00,69731.00,Entertainment,2018
672,Jake Fellman,13400000.00,10047123955.00,352.00,Entertainment,2012
673,ABC News,13400000.00,11589784991.00,71206.00,News & Politics,2006
674,Gallina Pintadita,13400000.00,9054727117.00,59.00,Music,2011
675,Telemundo,13400000.00,7855326888.00,18325.00,Entertainment,2007
676,Wesley Safadão,13400000.00,7301307830.00,371.00,Music,2009
677,AzzyLand,13400000.00,6045422126.00,1620.00,Gaming,2015
678,FAPTV,13400000.00,4975821188.00,595.00,Comedy,2014
679,TV Ana Emilia,13400000.00,4344884807.00,493.00,People & Blogs,2014
680,Harry Styles,13400000.00,4427208053.00,13.00,People & Blogs,2017
681,Lindsey Stirling,13400000.00,3533680308.00,172.00,Music,2007
682,Kurt Hugo Schneider,13400000.00,3659613327.00,681.00,Entertainment,2007
683,Narins Beauty,13400000.00,2046344368.00,406.00,Howto & Style,2014
684,Kim Loaiza,13400000.00,1092248349.00,12.00,Music,2019
685,YOLO,13400000.00,638326662.00,117.00,Comedy,2015
686,jbalvinVEVO,13300000.00,19691312985.00,235.00,Music,2010
687,Atlantic Records,13300000.00,11695828552.00,1421.00,Music,2006
688,Wish 107.5,13300000.00,5259245361.00,1552.00,Music,2014
689,H2ODelirious,13300000.00,4229571870.00,3027.00,Gaming,2007
690,Vlad and Niki ARA,13200000.00,6282100713.00,404.00,,2019
691,MyMissAnand,13200000.00,4522774674.00,275.00,People & Blogs,2014
692,PrestonPlayz,13200000.00,4655009420.00,694.00,Gaming,2018
693,123 GO! Spanish,13200000.00,4639173668.00,340.00,People & Blogs,2019
694,Anaysa,13200000.00,3173575287.00,490.00,Howto & Style,2012
695,JD Pantoja,13200000.00,1380896972.00,16.00,People & Blogs,2017
696,ETV Jabardasth,13100000.00,12102023764.00,7805.00,People & Blogs,2015
697,theRadBrad,13100000.00,5791129136.00,7672.00,Gaming,2006
698,SRK MUSIC,13100000.00,5680652976.00,4895.00,Music,2012
699,The LaBrant Fam,13100000.00,4606244054.00,586.00,Comedy,2012
700,Vlad and Niki ESP,13100000.00,4846410942.00,409.00,,2018
701,MSA previously My Story Animated,13100000.00,5149512811.00,838.00,Film & Animation,2019
702,The Q,13100000.00,4064473466.00,276.00,People & Blogs,2017
703,Desi Gamers,13100000.00,1938724616.00,1223.00,Gaming,2015
704,Matheus Yurley,13100000.00,741066278.00,238.00,Entertainment,2015
705,Calon Sarjana,13000000.00,10664585.00,29.00,Entertainment,2016
706,Saturday Night Live,13000000.00,13581231885.00,7996.00,Entertainment,2013
707,EnriqueIglesiasVEVO,13000000.00,14773705750.00,137.00,Music,2009
708,Поззи,13000000.00,6244275339.00,3000.00,People & Blogs,2012
709,The MriDul,13000000.00,3545774062.00,96.00,Comedy,2015
710,Conor Maynard,13000000.00,2581452824.00,282.00,Music,2006
711,DALLMYD,13000000.00,1738311790.00,616.00,Sports,2011
712,ГЛЕНТ,13000000.00,926279238.00,221.00,People & Blogs,2019
713,Coke Studio,12900000.00,3274234309.00,529.00,Music,2014
714,BeyoncéVEVO,12900000.00,13130570880.00,167.00,Music,2009
715,O Reino Infantil,12900000.00,9539435945.00,1055.00,Music,2014
716,twenty one pilots,12900000.00,4621224472.00,173.00,Music,2009
717,Gulshan Kalra,12900000.00,6130500064.00,339.00,Howto & Style,2018
718,How Ridiculous,12900000.00,5543670656.00,390.00,Sports,2009
719,Matt Steffanina,12900000.00,2970575636.00,486.00,Entertainment,2011
720,The Shiny Peanut,12900000.00,2839759455.00,2331.00,Education,2016
721,NishaMadhulika,12900000.00,2639885987.00,1931.00,Howto & Style,2009
722,ATHLEAN-X™,12900000.00,2162786560.00,1296.00,Howto & Style,2006
723,O Que Não Dizer Oficial,12900000.00,1636814649.00,511.00,Comedy,2015
724,Alex Gonzaga Official,12900000.00,1300528162.00,238.00,People & Blogs,2017
725,Everson Zoio,12900000.00,990362305.00,587.00,Comedy,2009
726,Infobells Bangla,12800000.00,6165983944.00,284.00,Education,2016
727,SMOL,12800000.00,13067020729.00,1960.00,People & Blogs,2021
728,RedeTV,12800000.00,8366717082.00,36800.00,Entertainment,2011
729,Crazy Frog,12800000.00,6887508307.00,33.00,Music,2009
730,MrSuicideSheep,12800000.00,6722961376.00,3212.00,Entertainment,2010
731,T-Series Hamaar Bhojpuri,12800000.00,6334967135.00,9347.00,Entertainment,2011
732,Ray William Johnson,12800000.00,6682031898.00,1354.00,Entertainment,2008
733,Zee Telugu,12800000.00,6224195587.00,86735.00,Entertainment,2008
734,Katakit Baby TV,12800000.00,5243185280.00,169.00,Music,2010
735,Typical Gamer,12800000.00,3948852379.00,3931.00,Gaming,2008
736,BBC News,12800000.00,3841146030.00,16397.00,News & Politics,2006
737,PowerfulJRE,12800000.00,2266640311.00,765.00,People & Blogs,2013
738,CookingShooking Hindi,12800000.00,1609903713.00,393.00,People & Blogs,2017
739,Hacksmith,12800000.00,1343814218.00,745.00,Science & Technology,2006
740,Dear Sir,12800000.00,918548566.00,482.00,Education,2016
741,Tsuriki Show,12700000.00,19472063469.00,1617.00,Entertainment,2019
742,NickiMinajAtVEVO,12700000.00,8367047990.00,93.00,Music,2010
743,Like Nastya Stories,12700000.00,6055781883.00,389.00,Entertainment,2019
744,Top Viral Talent,12700000.00,6503369315.00,2282.00,Entertainment,2014
745,Jazzghost,12700000.00,4639145138.00,5111.00,Gaming,2012
746,Ei Nerd,12700000.00,3207538507.00,5219.00,Entertainment,2013
747,#Refúgio Mental,12700000.00,2582093496.00,758.00,Entertainment,2013
748,أترو/Atro,12700000.00,2138416538.00,1544.00,Gaming,2017
749,Ami Rodriguez,12600000.00,1986603595.00,358.00,Entertainment,2009
750,That Little Puff,12600000.00,10768365983.00,542.00,Pets & Animals,2020
751,Hungria Hip Hop,12600000.00,3960601978.00,44.00,Music,2013
752,BBC,12600000.00,8830704358.00,12973.00,Pets & Animals,2005
753,Lady Diana,12600000.00,7265803610.00,1273.00,Entertainment,2016
754,T-Series Regional,12600000.00,5169203026.00,15573.00,Entertainment,2011
755,Blossom,12600000.00,4270306760.00,533.00,Howto & Style,2017
756,Crescendo com Luluca,12600000.00,4241651530.00,1107.00,Entertainment,2015
757,7 Minutoz,12600000.00,3916931694.00,511.00,Music,2012
758,TKOR,12600000.00,3337753407.00,1430.00,Education,2010
759,BIBO와 장난감,12600000.00,2875252577.00,152.00,Entertainment,2016
760,Veritasium,12600000.00,1795358843.00,336.00,Education,2010
761,Goldmines Premiere,12600000.00,1629550071.00,530.00,Entertainment,2013
762,SAAIHALILINTAR,12600000.00,1104329570.00,405.00,Entertainment,2012
763,Health Time,12600000.00,978876224.00,1604.00,Howto & Style,2016
